	PRODUTO	PREÇO
47	Abra a Porta dos Mistérios da Bruxaria: A chave para a a chave para a história - tradições e feitiços para os dias de hoje - de A Brown - Tonya Editorial Editora Pensamento-Cultrix Ltda -Althea Press/C	R$38.00
48	Mengão do Meu Coração: O Inesquecível Bicampeonato da Libertadores - 2019 - de Ghelman - Marcia Editorial Onze Cultural e Editora Eireli - tapa mole en português - 2021	R$44.10
49	Invocadores do Mal - de Wicks - com contribuições de Ed e Lorraine Warren Editorial Editora Pensamento-Cultrix Ltda - tapa mole en português - 2016	R$39.00
50	Desafiador: Retorno à Eternidade - de Helfer - Andrew Editora Panini Brasil LTDA - capa dura em português - 2019	R$13.00
51	Livro Neurociência E Mindfulness	R$64.00
52	A Ilha do Tesouro: edição comentada e ilustrada - de Stevenson - Robert Louis Editorial Editora Schwarcz SA - tapa dura en português - 2020	R$45.00
53	A Bruxaria Hoje: Não Aplica - de : Gerald B Gardner / : Margaret Murray Série Não aplica - vol Não Aplica Editora Madras - capa mole - edição não aplica em português - 2022	R$25.00
54	Enfermeiro Em Ação - O: Orientações Ético-legislativas - De Gilvânia Smith Da Nóbrega Morais Editorial Icone - Tapa Mole En Português	R$15.00
55	Realejo De Vida E Morte & Realejo Dos Mundos - De Adriana Jocy; Lisboa Editora Relicário - Capa Mole Em Português	R$48.00
56	O Incêndio: O Incendio - De Staut - Alexandre Editora Folhas De Relva Edições - Capa Mole - Edição 1 Em Português - 2018	R$8.00
57	Testo junkie: sexo - drogas e biopolítica na era farmacopornográfica - de Preciado - Paul B EdLab Press Editora Eirele - capa mole em português - 2018	R$269.00
58	The Tudors - A Terceira Temporada Completa - Dvd	R$38.00
59	Freud Pensador Da Cultura - De Renato Mezan Editora Blucher - Capa Mole - Edição 8 Em Português - 2019	R$159.00
60	Intervenções cardiovasculares - Solaci - de Sousa - Amanda Guerra de Moraes Rego Editorial Editora Atheneu Ltda - tapa mole en português - 2009	R$153.00
61	Quando os avanços parecem retrocessos - de Gonçalves - Antonio Baptista Editorial Editora Manole LTDA - capa mole em português - 2008	R$9.00
